title,company,location,date,job_url,job_description,applied,hidden,interview,rejected,date_loaded
AI Engineer,Coral,"Istanbul, Istanbul, Türkiye",2024-10-19,https://www.linkedin.com/jobs/view/4055423707/,"As the AI Engineer at Botnet, you will play a crucial role in managing models, prompt engineering, and memory for our consumer app. Botnet allows creators to make bots and clones of themselves, enabling their fans and others to interact and message.
Responsibilities
Technical Responsibilities
- Develop and manage AI models to enhance user experience and engagement
- Collaborate with cross-functional teams to implement prompt engineering techniques
- Optimize memory usage for efficient performance of the app
Data Responsibilities
- Collect and analyze user data to identify patterns and improve AI algorithms
- Work closely with data scientists to integrate machine learning capabilities into the app
- Ensure data privacy and security measures are implemented and maintained
Deployment and Maintenance Responsibilities
- Deploy and monitor AI models in production environments
- Continuously evaluate and improve the performance of AI algorithms
- Troubleshoot and resolve any issues related to AI functionality
Requirements
Technical Skills
- Minimum of 3 years of experience in AI engineering or related field
- Proficiency in machine learning frameworks such as Stable Diffusion
- Strong programming skills in Python
- Experience with natural language processing (NLP) techniques
Soft Skills
- Excellent problem-solving and analytical skills
- Strong communication and collaboration abilities
- Ability to work effectively in a fast-paced, agile development environment
Mentality
- Proactive and self-motivated mindset
- Strong attention to detail
- Continuous learner with a passion for staying updated with the latest AI trends and technologies        
            
                            
            ",0,0,0,0,2024-10-20 20:51:09.750126
Analytics Engineer (İstanbul-Ankara-İzmir),Trendyol Group,"Istanbul, Türkiye",2024-10-15,https://www.linkedin.com/jobs/view/4030130018/,"Ready to learn more about us?
We were founded in 2010 with a dynamic and agile start-up spirit. The trust of around 30 million customers and 250,000 sellers has made us the first decacorn in Turkey. Our success is backed by renowned investors such as Alibaba, General Atlantic, Softbank, Princeville Capital and several sovereign wealth funds. In 2022, we opened our first dedicated international office in Berlin and expanded to Amsterdam, Luxembourg and London. And that's just the beginning!
Tech at the root
We believe that technology is the driver and e-commerce is the outcome. Thanks to the dedication of our team, we have become one of the top 5 e-commerce companies in EMEA and one of the fastest growing worldwide. We currently deliver over 1.5 million parcels daily to 27 countries.
Growth is in our DNA
As a young and dynamic company, we are constantly growing and expanding. With Trendyol Tech, one of the leading R&D centres, Trendyol Express, the fastest growing delivery network, Dolap, the largest platform for second-hand goods, and Trendyol Go, our instant food and grocery delivery service, we are gearing up to become the world's leading e-commerce platform.
Focused on positive impact
Our vision goes beyond business success. We strive to make a sustainable and positive impact on our customers, business partners, and society. By digitizing merchants and SMEs, helping businesses grow, and promoting women's economic empowerment, we are dedicated to creating a better future.
ABOUT THE TEAM
If you are a techie, you belong in our Technology Team that builds scalable, high-performance platforms for our customers using up-to-date and efficient technologies.
We are all working with the same purpose: To create a positive impact in our ecosystem by enabling commerce through technology.
Your Main Responsibilities
- Partner with Product Managers and engineering teams to accurately track and analyze existing and new data product initiatives
- Work with large datasets on data extraction, enrichment, modeling, analysis, presentation, and visualization
- Own the design, SQL model development, and maintenance of ongoing metrics, reports, analyses, dashboards
- Act as a product owner of the Business Glossary Platform
- Work closely with business teams for data exploration/analysis activities - influencing business KPIs, roadmaps, and prioritization
- Deeply understand and empathize with Trendyol's customers and their journey with the product within a data perspective
Qualities We Are Looking For
- A graduate of a Bachelor of Science program or a higher level post-secondary educational program in Computer Science, Math, Engineering, Operation Research, or quantitative disciplines,
- A professional with 3 years of experience with data analytics/data warehouse analysis/data analysis, with an e-commerce background, is a plus,
- Comfortable with data warehouse concepts - fact tables, dimensions, star schemas, slowly changing dimensions, etc,
- Experience with Excel, SQL, and BI, and data visualization tools (e.g., Looker, Tableau),
- Strong hands-on experience in data modeling, data lake, and large-scale data warehousing architecture,
- Experience in applying data and analytics to solve real-world problems and create new solutions
- Ability to tell stories with data, and deliver data-driven insights to different types of audiences
- Have an agile mindset for data product development
JOIN US AND,
- Take responsibility from day one and develop your skills with a talented and diverse international team.
- Experience open communication, flexibility, and a start-up spirit in our unique culture.
- Tackle big challenges in e-commerce with Agile practices and encourage growth by learning from mistakes.
- Join creative and focused teams that prioritize collaboration and problem-solving.
- Access our extensive training platform for continuous learning and personal growth.
- Benefit from the support of a global team of experts with mentoring and professional development opportunities.
- Focus on talent and potential, not just job titles.
- Connect with teammates regardless of physical distance through events, meetings, and social activities.
- Enjoy competitive benefits such as Trendyol shopping budget, central and international office locations, and top-of-the-line technical equipment.
- Find the right balance between flexibility and team bonding with our hybrid working model and the opportunity for a two-month working from abroad program.
We're looking forward to receiving your application!
We embrace a hybrid working model that seamlessly blends the best of both worlds—remote productivity and the collaborative energy of our vibrant offices. Every month, we gather at our offices once to work side by side, fostering in person communication and embracing the camaraderie that fuels our team spirit. These sessions are crucial for teamwork in solving complex issues, socializing, learning from each other, and experiencing our culture.
Each division has a pre-set optional office day each week. Based on our preferences, we come together at our offices at our discretion as an opportunity to feel more team spirit, immerse in our culture, and familiarize ourselves with our way of workings.
We offer the opportunity for a two-month full remote work program, allowing you to work from abroad, during the summer period (July to August).
This working model applies to our hybrid job postings; on-site roles require being based in an office work environment.
Discover more about our #LifeatTrendyol and our culture on our Website, LinkedIn and YouTube channels.
At Trendyol, we believe in the power of an inclusive workplace. We value diversity and believe that every team member contributes to our vibrant culture. Our platform is for everyone, and so is our workplace. We encourage the representation and amplification of diverse voices in our business, as it allows us all to thrive, contribute, and shape the future together.        
            
                            
            ",0,0,0,0,2024-10-20 20:51:09.750126
Associate Data Engineer,Metyis,"Istanbul, Istanbul, Türkiye",2024-10-16,https://www.linkedin.com/jobs/view/3962786864/,Could not find Job Description,0,0,0,0,2024-10-20 20:51:09.750126
Data Analist,DogGO,"Istanbul, Istanbul, Türkiye",2024-10-19,https://www.linkedin.com/jobs/view/4054884693/,"Data Analist Stajyer'i Olarak
Yazılım geliştirme konusunda kendini geliştirmeye istekli,
Öğrenmeye açık, Dünya’nın önde gelen uygulamalarının kullandığı teknolojilerde kendisini geliştirmek isteyen,
Planlama becerileri yüksek, haftanın en az üç günü bizimle çalışabilecek takım arkadaşları arıyoruz.
Mobil uygulama üzerinden hizmet veren bir şirketin geliştirilmesinde etkin rol alarak, köpek sahiplerinin ve DogGO Walker’ların deneyimleri üzerinde doğrudan etkili olacaksın.
Aradığımız Özellikler
Python dilinde raporlama ve otomatizasyon teknolojilerinde kendini geliştirmek isteyen,
Tercihen Python dillerinde tecrübesi olan ve bu alanlarda kendini geliştirmek isteyen,
Serverless teknolojisinde kendisini geliştirmek isteyen,
Git teknolojisine hakim,
İleri seviyede İngilizce bilen,
Yazılım geliştirme süreçlerine uyacak ve ekiple uyumlu şekilde çalışacak,
Sorumluluk sahibi,
Yaptığı işi sahiplenen,
İyi iletişim kurabilen,
Üniversitelerin mühendislik bölümlerinin tercihen 3. veya 4. sınıfında öğrenci, zorunlu veya uzun dönem staj yapmak isteyen arkadaşlarımızı bekliyoruz!
- No-SQL veritabanı teknolojilerinde ve Jira benzeri Kanban sisteminde çalışmaya dair tecrübesi olan arkadaşlarımız öncelikli değerlendirilecektir.
Sorumlulukların
Veri alanında ilerlemeler ve standartlar göz önünde bulundurarak yapılması,
Farklı departmanların ihtiyacına göre atanan görevleri yerine getirerek katkı sağlanması,
Yazılım ekibi ile uyum ve iş birliği içerisinde, zaman hedeflerine uyarak projelerin tamamlanması,
Mobil uygulama üzerinden hizmet veren bir şirketin geliştirilmesinde etkin rol almak ve köpek sahiplerinin ve DogGO Walker’ların deneyimleri üzerinde doğrudan etkili olmak.
DogGO'da Çalışmak
Genç ve dinamik bir ekibin parçası olarak sorumluluk almak,
Yeni kurulan teknolojik bir girişimin önemli bir parçası olmak,
Kendini veri analizi ve isteğe bağlı olarak yazılımın diğer alanlarında geliştirmek,
Çözüm odaklı, hızlı bir tempoda ve agile kanban medolojisi ile çalışmak,
İnsiyatif almak,
Yeni teknolojiler öğrenmek istiyorsan
                
            
                            
            ",0,0,0,0,2024-10-20 20:51:09.750126
Data Analysis Intern,Revival,"Istanbul, Türkiye",2024-10-18,https://www.linkedin.com/jobs/view/4051803805/,"Position Overview:
Key Responsibilities:
- - - - - - Qualifications:
- - - - - -        
            
                            
            ",0,0,0,0,2024-10-20 20:51:09.750126
Data Analyst,Codeway,"Istanbul, Türkiye",2024-10-16,https://www.linkedin.com/jobs/view/4010474416/,"ABOUT CODEWAY
Codeway was founded in 2020 with a vision of turning strong ideas into sector-leading mobile products.
Today, Codeway is a thriving tech company with multiple sector-leading apps, and is home to 230+ bright & curious minds in Istanbul, Turkey.
We create mobile applications that millions of users love. We curate bold ideas and transform them into fast-growing products - from concept, through development, up to global market expansion. Our products have reached over 250 million users across 160 countries in six continents- and we’re just getting started.
If you’re passionate about mobile apps and want to be part of a long-term project, join us and let's build the future together.
POSITION
Are you passionate about leveraging data to drive business growth and strategy? Are you adept at navigating the intersection of analytics, user needs, and revenue generation? Codeway is seeking a dynamic and versatile Data Analyst to spearhead our data-driven initiatives.
As a Data Analyst at Codeway, you'll be at the nexus of various teams, collaborating extensively to enhance our apps’ performance and revenue streams. This pivotal role empowers you to engage with cross-functional groups, ranging from product development to finance, marketing, and quality assurance.
Become an integral part of Codeway's success story, where your passion for data-driven decision-making propels Codeway towards unparalleled achievements.
WHAT YOU’LL BE DOING?
· Utilize Looker as the primary Business Intelligence tool to harness insights from extensive datasets, translating complex data into actionable and understandable insights using LookML.
· Provide support for deep, ad-hoc analyses and debugging processes related to product & marketing issues using Looker, BigQuery and Google Sheets.
· Partner with product teams to oversee and track app monetization-related tests, ensuring seamless execution.
· Collaborate with product teams in LTV prediction processes, leveraging historical data and diverse app datasets to forecast marketing efforts' returns through various prediction methodologies.
· Contribute to the development of shared tools across Codeway's applications within the Cerebro team, offering support at intersections with product developments.
WHAT YOU’LL BRING?
· 
Passion.
 Passion for Analytics, marketing, product, AI. Simple enough.
· 
Know-how. 
You have a technical background or experience in relevant fields.
· 
Analytical approach.
 You're a fast learner who can independently explore and grasp new concepts. You can solve unexpected problems with your endless creativity. You can do all these individually.
· 
Ownership.
 We want you to be ready to own every aspect of your project. You won’t be a newcomer here; you’ll own your thing.
· 
Take the wheel.
 You’re ready to get your hands dirty. You’re hard-working, you refuse to give up until achieving what you want to get. You’re result-driven and always aim for excellence in the work you do.
· 
Good communication.
 Crystal clear communication skills.
· 
Proficiency in English.
 You read, write, and speak without any trouble in English.
· 
Cool vibe.
 You’re open to constructive criticism and feedback. You’re ready to improve yourself accordingly.
 
WHAT’S IN IT FOR YOU?
· Great Place to Work.
 As our top team member, you'll be a part of a fast-growing startup and have the privilege to enjoy our accredited “BEST WORKPLACES” environment, ranked first among all workplaces.
· A Competitive Compensation Package.
 Long story short, we take care of you.
· Quarterly Compensation Adjustment Program. 
Codeway operates globally. So, it is our responsibility to make sure that your global purchasing power stays the same, or only goes up.
· A meal compensation
 that is actually enough for a decent & nutritious lunch, we’re not following the industry standard.
· Full Health Benefits.
 To keep you away from all the trouble, we provide unlimited private health insurance and cover the HPV vaccine.
· Pet Adoption Support.
 We cover the primary healthcare expenses, parasite vaccinations, and microchip costs that may arise within the first year after employees adopt a pet. 
· Cool tech stack.
 A brand new Macbook, iPhone 15 Pro, magic mouse, magic keyboard; an adjustable desk with a 4K screen and any other gadget you may need in your job.
· Sport activities support.
 We care about your physical wellbeing and support your gym membership.
· Learning never ends!
 Training budget to help you grow in your role, gain new skills, and learn new things!
· Udemy Free Pass.
 An unlimited Udemy subscription.
· Flexible schedule & unlimited vacations.
 This isn’t a “clock in, clock out” company. We care about your productivity, not tracking every minute you’re on site. It’s up to you to always be responsible with your work, no matter where you are or what schedule you’re keeping.
· English course support.
 Be more global and perform best at your work.
· Comprehensive well-being support.
 Through our partnership with Meditopia, we now offer free psychological counseling, along with additional services like dietitian, personal trainer, parenting consultant, physiotherapist, child & adolescent therapist, and face-to-face counseling for employees in Istanbul.
· A Top-Notch Office.
 Located at the heart of Istanbul, right next to Levent Metro Station at Ferko Signature.
· Codebucks.
 Yes, you’ve heard it right: We love coffee so much that we’ve built our own coffee shop inside our office, where we also provide healthy snacks at certain hours.
· Free breakfast.
 At Codebucks - every morning at 9:30 AM.
· No Dress Code.
 Dress as you like.
· Happy hours every Friday.
 Every. Single. Friday. When it’s 5 PM: Screens off, party on! (Check out Codeway on Instagram)
· Dream Team.
 Average Codeway member is young, talented, and passionate - which makes our working environment extremely dynamic. Need proof? Take a look at our Instagram.
· Gaming area.
 Whenever you need to take a break from hard work and relax with your favorite games, our PS5 corner will be waiting for you.
· Software support.
 Subscription to any software you might need to perform at your best.
· Relocation support to Istanbul.
 We understand how difficult moving can be, especially if you are changing cities. If you’re the talent we’re looking for, we support you in your relocation to Istanbul.
· Safety Relocation Support.
 A one-time payment is made to our employees residing in Istanbul who do not feel safe in their home due to earthquakes, in order to support their relocation to earthquake-resistant buildings.
· Public Transportation Support.
 Daily public transportation support is on us, covered by an additional monthly compensation.
· Parent Support. 
Becoming a parent is a big moment, and Codeway celebrates it with you. We offer a one-time grant to support our new parents.
· Massage Room. 
When you need a moment to recharge and unwind, our massage chair room will be ready to offer you a relaxing break.
THE RECRUITING PROCESS
We are committed to keeping our recruitment process short and transparent. Here’s how it looks like: 
1. Application:
 Send us your CV or LinkedIn profile. You can also just write a few words about yourself.
2. Case Study:
 We might send you a task to solve.
3. Talent & Culture Interview:
 Let’s talk about your experience & expectations and see what we can achieve together.
4. Technical Interview:
 You will meet with future team lead to go over the case and your technical capabilities in detail.
5. Reference Check: 
We will contact your references to gain insights into your past experiences and work ethic.
6. Welcome Aboard!
 You are now a part of the team.
Your personal data that will be collected through your applications made due to this advertisement will be processed automatically by the data controller Codeway in accordance with the Personal Data Protection Law No. 6698 (""KVKK"") and relevant legislation for the purpose of conducting job application processes. You can access detailed information on this matter from the ""Candidate Information Notice"" page at
https://www.codeway.co
.
Bu ilan sebebiyle yapacağınız başvurular aracılığıyla toplanacak kişisel verileriniz veri sorumlusu Codeway tarafından 6698 sayılı Kişisel Verilerin Korunması Kanunu (“KVKK”) ve ilgili mevzuat kapsamında iş başvuru süreçlerinin yürütülmesi amacıyla otomatik yollarla işlenecektir. Detaylı bilgiye
 https://www.codeway.co
 adresindeki Aday Aydınlatma Metnimizin sayfasından ulaşabilirsiniz.        
            
                            
            ",0,0,0,0,2024-10-20 20:51:09.750126
Data Analyst Intern,Avon,"Istanbul, Türkiye",2024-10-15,https://www.linkedin.com/jobs/view/4044004869/,"You’ve picked a great time to join Avon. We’re the company that puts purpose, people and relationships at the heart of everything we do. The company that’s 135 years young and only just getting started. As part of the Natura &Co family, we’re committed to being the best beauty company for the world by generating a positive environmental, economic and social impact for our communities across the globe.
Requirements
- 3rd & 4th grade
 in Engineering Faculties of universities.
- Minimum 3 or 4 day per week
 is required for this position.
- Willing to work in Analytic Department.
- Fluent in English.
- Good command of MS Office applications.
- Ability to function professionally in a fast-paced environment.
- Effective communication and interpersonal skills (both written and verbal).
- Good team player building relations based on trust & honesty.
- Strong analytical skills and ability to interpret.
- Internship will at least 6 months.
Job Responsibilities
- Supporting analytic issues related with tracking trend.
- Preparing and sharing routine reports with global analytic team.
- Controlling reports before announcement to the Avon TR stakeholders.        
            
                            
            ",0,0,0,0,2024-10-20 20:51:09.750126
Data Engineer,Sabanci University,"Tuzla, Istanbul, Türkiye",2024-10-14,https://www.linkedin.com/jobs/view/4047645473/,"Ready to build the future with us?
Sabancı University was first initiated as a comprehensive social responsibility project in the field of education with 50 academics from 22 countries as well as students and representatives from the private sector in 1995. Being established as a world university with the mission of “Creating and Developing Together"", Sabancı University has enhanced its leading and dynamic position in innovative education and research with transformative impact on science and society since 1999.
We are looking for a 
Data Engineer
 with the following qualifications to work in the 
Sabancı University Digital Transformation Unit.
Qualifications
- Bachelor’s Degree in Industrial, computer, electrical-electronic, mathematical engineering or related fields,
- Minimum 3+ years of experience in data analysis, data engineering or a related field,
- Excellent verbal and written skills in English,
- Knowledge of big data and analytics technologies and providers (Hadoop, Spark, etc.)
- Experience in data processing (Kafka, Kinesis, dataflow, etc.), ETL processes, DWH implementation and development, SQL, data modeling and database design,
- Experience in managing business intelligence and advanced analytics applications and operational management in application servers,
- Strong analytical and problem-solving skills with the ability to interpret complex data sets and working with Agile methodologies,
- Experience in data visualization tools such as PowerBI,
- Teamwork skills, strong communication skills, customer orientation.
Job Description
- Design end-to-end analytics solutions including data platform building blocks (data pool, APIs) and ensure integration between these blocks,
- Define and prepare the data model and data structure required for analytics scenarios,
- Create user scenarios and ensure compliance with IT data management,
- Build, design central data architecture and ensure transfer and processing from systems,
- Collect, process and analyze large data sets from various sources to ensure data quality and consistency,
- Ensure data security by implementing appropriate data management and compliance measures,
- Implement and manage ETL processes,
- Understand the possible implications of Advanced Analytics solutions based on architecture and help define solutions to support any future business needs,
- Provide support for analyses of analytics projects,
- Create comprehensive documentation for data workflows, schemas and data management policies.
What we will offer you?
- Working in Sabancı University Campus with collaborative work environment and gym & social areas,
- A competitive salary and a robust compensation package including, 
employer sponsored 
family included private health insurance, life insurance and private pension benefits,
- Hybrid working,
- Performance Reward policy,
- Transportation and university cafeteria,
- Meal allowance, communication and internet support for hybrid working days,
- Opportunity to study a master’s degree at the university and Erasmus Staff Mobility Programme,
- English language course,
- On-campus healthcare, library,
- Several discounts including pre-school and SA Group company services,
- Social clubs and activities.
''Sabancı University is committed to the principle of equal opportunity and equal treatment in education and employment. The University respects all individuals without any discrimination of gender, religion, national and ethnic origin, race, color, physical disability, physical appearance, marital or parental status, sexual orientation, age, or political affiliation in the administration of its educational, admission and employment policies, and its scholarship and university-sponsored programs.''        
            
                            
            ",0,0,0,0,2024-10-20 20:51:09.750126
Data Engineer (İstanbul-Ankara-İzmir),Trendyol Group,"Istanbul, Türkiye",2024-10-15,https://www.linkedin.com/jobs/view/4030125589/,"Ready to learn more about us?
We were founded in 2010 with a dynamic and agile start-up spirit. The trust of around 30 million customers and 250,000 sellers has made us the first decacorn in Turkey. Our success is backed by renowned investors such as Alibaba, General Atlantic, Softbank, Princeville Capital and several sovereign wealth funds. In 2022, we opened our first dedicated international office in Berlin and expanded to Amsterdam, Luxembourg and London. And that's just the beginning!
Tech at the root
We believe that technology is the driver and e-commerce is the outcome. Thanks to the dedication of our team, we have become one of the top 5 e-commerce companies in EMEA and one of the fastest growing worldwide. We currently deliver over 1.5 million parcels daily to 27 countries.
Growth is in our DNA
As a young and dynamic company, we are constantly growing and expanding. With Trendyol Tech, one of the leading R&D centres, Trendyol Express, the fastest growing delivery network, Dolap, the largest platform for second-hand goods, and Trendyol Go, our instant food and grocery delivery service, we are gearing up to become the world's leading e-commerce platform.
Focused on positive impact
Our vision goes beyond business success. We strive to make a sustainable and positive impact on our customers, business partners, and society. By digitizing merchants and SMEs, helping businesses grow, and promoting women's economic empowerment, we are dedicated to creating a better future.
ABOUT THE TEAM
If you are a techie, you belong in our Technology Team that builds scalable, high-performance platforms for our customers using up-to-date and efficient technologies.
We are all working with the same purpose: To create a positive impact in our ecosystem by enabling commerce through technology.
Your Main Responsibilities
- You will code new features and improve the existing platform to exalt the Trendyol platform experience and scale.
- You will continuously improve yourself with your team members learning new technologies and acquiring new skills.
- You will participate in planning meetings, estimate tasks, do code reviews, and code in pairs.
Qualities We Are Looking For
- Degree in Computer Engineering, Electronics Engineering, Mathematical Engineering
- Mathematics, and related Information Technologies
- 2 - 5 years experience in related areas
- Hands-on experience in building 
data processing applications 
with Spark or Flink
- Experience in open-source 
data technologies
 (Hadoop, Hive, Kafka, etc.)
- Strong software engineering skills
- Hands-on with Scala/Java programming
- Experience with Unix/Linux and shell scripting
- Experience with SQL and NoSQL technologies, data modeling and tradeoffs
- Experience with columnar, row-based, and distributed databases
- Experience building RESTful APIs
- Knowledge of stream processing is a plus
- Knowledge of functional programming is a plus
- Enjoy doing research and able to gather information to find out and execute best practices of the areas he/she is responsible for
- Enjoy improving & optimizing software and using new technologies
- Able to think proactively, and have a result-oriented approach
Technology Stack
- Languages: Scala, Java
- VCS & Build Tools: Git, Gitlab, Sbt
- Big Data Tools: Spark, Flink, Hive
- Workflow Orchestration: Airflow
- Data Stores: Kafka, Cassandra, PostgreSQL
- DevOps: Docker, Kubernetes, Google Cloud
JOIN US AND,
- Take responsibility from day one and develop your skills with a talented and diverse international team.
- Experience open communication, flexibility, and a start-up spirit in our unique culture.
- Tackle big challenges in e-commerce with Agile practices and encourage growth by learning from mistakes.
- Join creative and focused teams that prioritize collaboration and problem-solving.
- Access our extensive training platform for continuous learning and personal growth.
- Benefit from the support of a global team of experts with mentoring and professional development opportunities.
- Focus on talent and potential, not just job titles.
- Connect with teammates regardless of physical distance through events, meetings, and social activities.
- Enjoy competitive benefits such as Trendyol shopping budget, central and international office locations, and top-of-the-line technical equipment.
- Find the right balance between flexibility and team bonding with our hybrid working model and the opportunity for a two-month working from abroad program.
We're looking forward to receiving your application!
We embrace a hybrid working model that seamlessly blends the best of both worlds—remote productivity and the collaborative energy of our vibrant offices. Every month, we gather at our offices once to work side by side, fostering in person communication and embracing the camaraderie that fuels our team spirit. These sessions are crucial for teamwork in solving complex issues, socializing, learning from each other, and experiencing our culture.
Each division has a pre-set optional office day each week. Based on our preferences, we come together at our offices at our discretion as an opportunity to feel more team spirit, immerse in our culture, and familiarize ourselves with our way of workings.
We offer the opportunity for a two-month full remote work program, allowing you to work from abroad, during the summer period (July to August).
This working model applies to our hybrid job postings; on-site roles require being based in an office work environment.
Discover more about our #LifeatTrendyol and our culture on our Website, LinkedIn and YouTube channels.
At Trendyol, we believe in the power of an inclusive workplace. We value diversity and believe that every team member contributes to our vibrant culture. Our platform is for everyone, and so is our workplace. We encourage the representation and amplification of diverse voices in our business, as it allows us all to thrive, contribute, and shape the future together.        
            
                            
            ",0,0,0,0,2024-10-20 20:51:09.750126
Data Scientist,Fugo Games,"Sarıyer, Istanbul, Türkiye",2024-10-17,https://www.linkedin.com/jobs/view/3980170782/,"Our core belief at Fugo is that our potential grows with our team. With each new team member, we ensure that we have moved a step forward towards creating the highest quality mobile games possible.
We are looking for a talented and creative
 Data Scientist
 interested in pushing the boundaries of game analytics. You’ll have a proven ability to apply your skills, be it technical, behavioral or economic, to generate value for the studio's new generation of awesome mobile games.
Desired Skills and Experience:
- Bachelor's degree in related departments from a reputable university.
- 2+ years of work experience as a data scientist.
- Strong knowledge of statistical methods, machine learning algorithms, and data visualization techniques.
- Proficiency in programming languages such as Python or R.
- Advanced SQL skills
- Excellent problem-solving skills and attention to detail.
- Strong communication skills, with the ability to present complex data insights to non-technical stakeholders.
- Passion for gaming and a deep understanding of player behavior and game mechanics.
What you will do:
- Analyze large datasets to extract meaningful insights and trends.
- Develop and implement data models and algorithms to enhance game performance and user experience.
- Collaborate with other departments to integrate data-driven decision-making into the game development process.
- Design and conduct A/B tests to evaluate the impact of new features and improvements.
- Monitor and optimize in-game metrics to ensure player satisfaction and retention.
- Provide actionable recommendations based on data analysis to improve game engagement and monetization.
What you can expect from us:
- Being a part of a passionate team
- Opportunity to take initiative and bring new ideas
- Enjoy coming to work every day and to have delightful stories to tell your family and friends        
            
                            
            ",0,0,0,0,2024-10-20 20:51:09.750126
